AREAGEOGRAFICA,REGIONE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,SITOWEBSCUOLA,SEDESCOLASTICA,Alunni,Full Address,Latitude,Longitude,ORDINESCUOLA
NORD OVEST,LIGURIA,GENOVA,GEIC80500R,I.C. VALLI E CARASCO,GEMM805041,I.C.VALLI / CARASCO,VIA MONTANARO DISMA 136 B,Non Disponibile,GEIC80500R@istruzione.it,Non Disponibile,https//www.comprensivovalliecarasco.it/,NO,190,"VIA MONTANARO DISMA 136 B, GENOVA",44.348543,9.3463337,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC80500R,I.C. VALLI E CARASCO,GEEE805053,S.EL. DI CARASCO,VIA MONTANARO DISMA 136 A,Non Disponibile,GEIC80500R@istruzione.it,Non Disponibile,https//www.comprensivovalliecarasco.it/,NO,158,"VIA MONTANARO DISMA 136 A, GENOVA",44.348543,9.3463337,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC80500R,I.C. VALLI E CARASCO,GEIC80500R,I.C. VALLI E CARASCO,VIA MONTEGRAPPA 3,Non Disponibile,GEIC80500R@istruzione.it,geic80500r@pec.istruzione.it,www.comprensivovalliecarasco.edu.it,NO,,"VIA MONTEGRAPPA 3, GENOVA",44.4088936,8.9528491,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC80500R,I.C. VALLI E CARASCO,GEEE805042,S.EL.-D.SPINETTO-MEZZANEGO,VIA CAP.GANDOLFO 175A,Non Disponibile,GEIC80500R@istruzione.it,Non Disponibile,www.comprensivovalliecarasco.gov.it,NO,70,"VIA CAP.GANDOLFO 175A, GENOVA",44.469058,8.8990145,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC80500R,I.C. VALLI E CARASCO,GEEE80501V,S.EL.-G.TRAVERSONE-REZZOAGLIO,VIA ALLE SCUOLE 1,Non Disponibile,GEIC80500R@istruzione.it,Non Disponibile,www.comprensivovalliecarasco.gov.it,NO,32,"VIA ALLE SCUOLE 1, GENOVA",44.4071448,8.9347381,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC80500R,I.C. VALLI E CARASCO,GEEE805031,S.EL. DI BORZONASCA,PIAZZA SEVERINO 1/2,Non Disponibile,GEIC80500R@istruzione.it,Non Disponibile,www.comprensivovalliecarasco@gov.it,NO,52,"PIAZZA SEVERINO 1/2, GENOVA",44.4222385,9.3867788,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC80500R,I.C. VALLI E CARASCO,GEEE80502X,S.EL.-A.LIVELLARA-S.S.D'AVETO,VIA E. RAZZETTI 1,Non Disponibile,GEIC80500R@istruzione.it,Non Disponibile,www.comprensivovalliecarasco.gov.it,NO,15,"VIA E. RAZZETTI 1, GENOVA",44.5459802,9.4513242,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC80500R,I.C. VALLI E CARASCO,GEMM80503X,I.C. VALLI / BORZONASCA,VIA PIAN DELLA CA',Non Disponibile,GEIC80500R@istruzione.it,Non Disponibile,https//www.comprensivovalliecarasco.it/,NO,48,"VIA PIAN DELLA CA', GENOVA",44.5051665,9.2440898,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC80500R,I.C. VALLI E CARASCO,GEMM80501T,I.C.VALLI /REZZOAGLIO,VIA ALLE SCUOLE 1,Non Disponibile,GEIC80500R@istruzione.it,Non Disponibile,www.comprensivovalliecarasco.gov.it,NO,25,"VIA ALLE SCUOLE 1, GENOVA",44.4071448,8.9347381,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC80500R,I.C. VALLI E CARASCO,GEMM80502V,I.C. VALLI/ SANTO STEFANO AVETO,VIA E. RAZZETTI 1,Non Disponibile,GEIC80500R@istruzione.it,Non Disponibile,www.comprensivovalliecarasco.gov.it,NO,,"VIA E. RAZZETTI 1, GENOVA",44.5459802,9.4513242,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC80600L,I.C. SANTA MARGHERITA LIGURE,GEEE80601P,S.EL. - A.R.SCARSELLA -,PIAZZA ROCCATAGLIATA 1,Non Disponibile,GEIC80600L@istruzione.it,Non Disponibile,https//icsantamargheritaligure.edu.it/,NO,154,"PIAZZA ROCCATAGLIATA 1, GENOVA",44.4575212,8.984188,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC80600L,I.C. SANTA MARGHERITA LIGURE,GEMM80601N,I.C./ S.M.S. S.MARGHERITA LIG.,VIA ROCCATAGLIATA 2 A,Non Disponibile,GEIC80600L@istruzione.it,Non Disponibile,www.icsantamargheritaligure.gov.it,NO,164,"VIA ROCCATAGLIATA 2 A, GENOVA",44.457624,8.9843597,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC80600L,I.C. SANTA MARGHERITA LIGURE,GEIC80600L,I.C. SANTA MARGHERITA LIGURE,VIA ROCCATAGLIATA 2 A,Non Disponibile,GEIC80600L@istruzione.it,geic80600l@pec.istruzione.it,www.icsantamargheritaligure.edu.it,NO,,"VIA ROCCATAGLIATA 2 A, GENOVA",44.457624,8.9843597,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC80600L,I.C. SANTA MARGHERITA LIGURE,GEEE80603R,S.EL. DI S.LORENZO DELLA COSTA,VIA TORRE S.GIOACCHINO,Non Disponibile,GEIC80600L@istruzione.it,Non Disponibile,https//icsantamargheritaligure.edu.it/,NO,19,"VIA TORRE S.GIOACCHINO, GENOVA",44.3412568,9.1973227,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC80600L,I.C. SANTA MARGHERITA LIGURE,GEEE80602Q,S.EL. DI NOZAREGO BASSO,VIA MADONNETTA,Non Disponibile,GEIC80600L@istruzione.it,Non Disponibile,WWW.ICSANTAMARGHERITALIGURE.EDU.IT,NO,89,"VIA MADONNETTA, GENOVA",44.3246332,9.2080218,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC80700C,I.C. CENTRO STORICO,GEIC80700C,I.C. CENTRO STORICO,PIAZZA DI S.MARIA IN VIA LATA 12,Non Disponibile,GEIC80700C@istruzione.it,geic80700c@pec.istruzione.it,www.iccentrostoricoge.edu.it/,NO,70,"PIAZZA DI S.MARIA IN VIA LATA 12, GENOVA",44.4032317,8.9362206,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC80700C,I.C. CENTRO STORICO,GEEE80701E,S.EL. - G.EMBRIACO -,PIAZZA DI S.MARIA IN VIA LATA 12,Non Disponibile,GEIC80700C@istruzione.it,Non Disponibile,www.iccentrostoricoge.it,NO,282,"PIAZZA DI S.MARIA IN VIA LATA 12, GENOVA",44.4032317,8.9362206,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC80700C,I.C. CENTRO STORICO,GEMM80701D,"SC. SECONDARIA ""G.B.BALIANO""",VICO DI MEZZAGALERA 4,Non Disponibile,GEIC80700C@istruzione.it,Non Disponibile,https//www.iccentrostoricoge.edu.it/,NO,80,"VICO DI MEZZAGALERA 4, GENOVA",44.4058463,8.9327706,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC80700C,I.C. CENTRO STORICO,GEEE80702G,SC. PR - L. GARAVENTA -A. GALLO,VICO DI MEZZAGALERA 4,Non Disponibile,GEIC80700C@istruzione.it,Non Disponibile,www.iccentrostoricoge.it,NO,198,"VICO DI MEZZAGALERA 4, GENOVA",44.4058463,8.9327706,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC808008,I.C. SAN FRUTTUOSO,GEIC808008,I.C. SAN FRUTTUOSO,VIA P. BERGHINI 1,Non Disponibile,GEIC808008@istruzione.it,geic808008@pec.istruzione.it,www.icsanfruttuoso.gov.it,NO,217,"VIA P. BERGHINI 1, GENOVA",44.4132971,8.9714114,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC808008,I.C. SAN FRUTTUOSO,GEEE80801A,S.EL. - XII OTTOBRE -,VIA A.GALEAZZO 26,Non Disponibile,GEIC808008@istruzione.it,Non Disponibile,www.icsanfruttuoso.gov.it,NO,101,"VIA A.GALEAZZO 26, GENOVA",44.41199,8.96834,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC808008,I.C. SAN FRUTTUOSO,GEMM808019,I.C./ S.M.S. SAN FRUTTUOSO,VIA BERGHINI 1,Non Disponibile,GEIC808008@istruzione.it,Non Disponibile,www.geic808008@istruzione.it,NO,254,"VIA BERGHINI 1, GENOVA",44.4132971,8.9714114,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC808008,I.C. SAN FRUTTUOSO,GEEE80802B,S.EL. - C.BATTISTI -,VIA DONGHI 10,Non Disponibile,GEIC808008@istruzione.it,Non Disponibile,www.icsanfruttuoso.gov.it,NO,111,"VIA DONGHI 10, GENOVA",44.4082402,8.9667796,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC810008,I.C. CASARZA LIGURE,GEEE81002B,S.EL. DI CASTIGLIONE CHIAVARESE,VIA MONTESSORI 2,Non Disponibile,GEIC810008@istruzione.it,Non Disponibile,www.icdeandre.edu.it,NO,87,"VIA MONTESSORI 2, GENOVA",44.4071448,8.9347381,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC810008,I.C. CASARZA LIGURE,GEEE81003C,S.EL.DI VIA A.CAVERI-MONEGLIA,VIA A.CAVERI 20,Non Disponibile,GEIC810008@istruzione.it,Non Disponibile,www.icdeandre.edu.it,NO,76,"VIA A.CAVERI 20, GENOVA",44.2408436,9.4892149,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC810008,I.C. CASARZA LIGURE,GEEE81001A,S.EL. - U.FRACCHIA -,VIA ANNUTI 72,Non Disponibile,GEIC810008@istruzione.it,Non Disponibile,www.icdeandre.edu.it,NO,209,"VIA ANNUTI 72, GENOVA",44.2726881,9.4489714,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC810008,I.C. CASARZA LIGURE,GEMM81002A,I.C. -S.M.S. DI CASARZA LIGURE,VIA CASTELLO 16,Non Disponibile,GEIC810008@istruzione.it,Non Disponibile,www.icdeandre.edu.it,NO,218,"VIA CASTELLO 16, GENOVA",44.4020499,8.9412643,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC810008,I.C. CASARZA LIGURE,GEMM810019,I.C. CASARZA /MONEGLIA,VIA A.CAVERI 20,Non Disponibile,GEIC810008@istruzione.it,Non Disponibile,www.icdeandre.edu.it,NO,59,"VIA A.CAVERI 20, GENOVA",44.2408436,9.4892149,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC810008,I.C. CASARZA LIGURE,GEIC810008,I.C. CASARZA LIGURE,VIA CASTELLO16,Non Disponibile,GEIC810008@istruzione.it,geic810008@pec.istruzione.it,Non Disponibile,NO,,"VIA CASTELLO16, GENOVA",44.4071448,8.9347381,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC811004,I.C. OREGINA,GEIC811004,I.C. OREGINA,SALITA OREGINA 40,Non Disponibile,GEIC811004@istruzione.it,geic811004@pec.istruzione.it,www.icoregina.edu.it,NO,265,"SALITA OREGINA 40, GENOVA",44.4227131,8.9237579,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC811004,I.C. OREGINA,GEEE811027,S.EL.ST. - DIECI DICEMBRE,VIA V.MACULANO 14,Non Disponibile,Non Disponibile,Non Disponibile,www.icoregina.edu.it,NO,96,"VIA V.MACULANO 14, GENOVA",44.4255289,8.9270952,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC811004,I.C. OREGINA,GEEE811016,SCUOLA PRIMARIA - A. SPINOLA -,VIA NAPOLI 2 CANC.,Non Disponibile,GEIC811004@istruzione.it,Non Disponibile,www.icoregina.edu.it,NO,381,"VIA NAPOLI 2 CANC., GENOVA",44.4211978,8.9250124,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC811004,I.C. OREGINA,GEMM811015,IC OREGINA-SEC.I GR. A GASTALDI,SALITA OREGINA 40,Non Disponibile,GEIC811004@istruzione.it,Non Disponibile,www.icoregina.edu.it,NO,317,"SALITA OREGINA 40, GENOVA",44.4227131,8.9237579,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC81200X,I.C. SAN FRANCESCO DA PAOLA,GEEE812034,S.EL.ST. M. MAZZA,VIA NAPOLI 60,Non Disponibile,Non Disponibile,Non Disponibile,HTTPS//WWW.ICSFDAPAOLAGE.EDU.IT,NO,106,"VIA NAPOLI 60, GENOVA",44.4243562,8.9188405,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC81200X,I.C. SAN FRANCESCO DA PAOLA,GEIC81200X,I.C. SAN FRANCESCO DA PAOLA,VIA BOLOGNA 86,Non Disponibile,GEIC81200X@istruzione.it,geic81200x@pec.istruzione.it,Non Disponibile,NO,321,"VIA BOLOGNA 86, GENOVA",44.4198554,8.9142726,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC81200X,I.C. SAN FRANCESCO DA PAOLA,GEEE812012,S.EL. - A.MAMELI -,VIA BOLOGNA 86,Non Disponibile,GEIC81200X@istruzione.it,Non Disponibile,HTPPS//WWW.ICSFDAPAOLAGE.EDU.IT,NO,243,"VIA BOLOGNA 86, GENOVA",44.4198554,8.9142726,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81200X,I.C. SAN FRANCESCO DA PAOLA,GEEE812023,S.EL. - MONTEGRAPPA -,VIA SAN MARINO 223,Non Disponibile,GEIC81200X@istruzione.it,Non Disponibile,HTTPS//WWW.ICSFDAPAOLAGE.EDU.IT,NO,152,"VIA SAN MARINO 223, GENOVA",44.4277597,8.907494,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81200X,I.C. SAN FRANCESCO DA PAOLA,GEMM812011,I.C. S.FRANCESCO DA PAOLA-BIXIO,SALITA GRANAROLO 24,Non Disponibile,GEIC81200X@istruzione.it,Non Disponibile,HTPPS//WWW.ICSFDAPAOLAGE.EDU.IT,NO,275,"SALITA GRANAROLO 24, GENOVA",44.4199108,8.9154098,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC81300Q,IC VOLTRI I,GEEE813052,S.EL. DI VOLTRI 2,VIA P.CALAMANDREI 57,Non Disponibile,Non Disponibile,Non Disponibile,https//www.icvoltri1.edu.it,NO,74,"VIA P.CALAMANDREI 57, GENOVA",44.4319685,8.7575545,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC81300Q,IC VOLTRI I,GEIC81300Q,IC VOLTRI I,SALITA EGEO 16,Non Disponibile,GEIC81300Q@istruzione.it,geic81300q@pec.istruzione.it,www.icvoltri1.edu.it,NO,386,"SALITA EGEO 16, GENOVA",44.4287981,8.744077,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC81300Q,IC VOLTRI I,GEEE813063,S.EL. - E.A.D'ALBERTIS -,VIA G.BUFFA 36,Non Disponibile,Non Disponibile,Non Disponibile,https//www.icvoltri1.edu.it,NO,192,"VIA G.BUFFA 36, GENOVA",44.4295395,8.757767,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC81300Q,IC VOLTRI I,GEEE81303X,S.EL. DI FABBRICHE,VIA FABBRICHE 189 B,Non Disponibile,GEIC81300Q@istruzione.it,Non Disponibile,https//www.icvoltri1.edu.it,NO,13,"VIA FABBRICHE 189 B, GENOVA",44.4474281,8.7184614,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81300Q,IC VOLTRI I,GEEE81301T,"S.EL.""A.GAGGERO""",VIA PERNICIARO 74,Non Disponibile,GEIC81300Q@istruzione.it,Non Disponibile,https//www.icvoltri1.edu.it,NO,105,"VIA PERNICIARO 74, GENOVA",44.4450451,8.748762,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81300Q,IC VOLTRI I,GEMM81301R,I.C.VOLTRI I- S.M.S. ANSALDO,SALITA EGEO 16,Non Disponibile,GEIC81300Q@istruzione.it,Non Disponibile,https//www.icvoltri1.edu.it,NO,257,"SALITA EGEO 16, GENOVA",44.4287981,8.744077,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC81300Q,IC VOLTRI I,GEEE81302V,S.EL. - G.CANEPA -,VIA PISSAPAOLA 48,Non Disponibile,GEIC81300Q@istruzione.it,Non Disponibile,https//www.icvoltri1.edu.it,NO,91,"VIA PISSAPAOLA 48, GENOVA",44.4244313,8.7303533,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81300Q,IC VOLTRI I,GEMM81302T,I.C. VOLTRI I -S.M.S. DI MELE,PIAZZA MUNICIPIO 6,Non Disponibile,GEIC81300Q@istruzione.it,Non Disponibile,https//www.icvoltri1.edu.it,NO,78,"PIAZZA MUNICIPIO 6, GENOVA",44.4455363,8.7481875,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC81300Q,IC VOLTRI I,GEEE813041,S.EL. - E.DE AMICIS -,VICO N.DA CORTE 2,Non Disponibile,GEIC81300Q@istruzione.it,Non Disponibile,https//www.icvoltri1.edu.it,NO,91,"VICO N.DA CORTE 2, GENOVA",44.3837258,9.031135,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81400G,I.C. VALLE STURA,GEMM81401L,SC.SECONDARIA I GR.CAMPO LIGURE,VIALE SAN MICHELE 30,Non Disponibile,GEIC81400G@istruzione.it,Non Disponibile,www.icvs.edu.it,NO,68,"VIALE SAN MICHELE 30, GENOVA",44.5396271,8.6975348,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC81400G,I.C. VALLE STURA,GEEE81403Q,SC.PRIMARIA DI ROSSIGLIONE,VIA CADUTI DELLA LIBERTA' 5,Non Disponibile,GEIC81400G@istruzione.it,Non Disponibile,www.icvs.edu.it,NO,95,"VIA CADUTI DELLA LIBERTA' 5, GENOVA",44.565318,8.668354,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81400G,I.C. VALLE STURA,GEEE81404R,SC.PRIMARIA DI TIGLIETO,VIA C. COLOMBO 22,Non Disponibile,GEIC81400G@istruzione.it,Non Disponibile,www.icvs.edu.it,NO,3,"VIA C. COLOMBO 22, GENOVA",44.365005,9.123806,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81400G,I.C. VALLE STURA,GEEE81402P,SC.PRIMARIA DI CAMPO LIGURE,VIALE SAN MICHELE 32,Non Disponibile,GEIC81400G@istruzione.it,Non Disponibile,www.icvs.edu.it,NO,93,"VIALE SAN MICHELE 32, GENOVA",44.5396271,8.6975348,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81400G,I.C. VALLE STURA,GEEE81401N,SC.PRIMARIA DI MASONE,PIAZZA 75 MARTIRI 3,Non Disponibile,GEIC81400G@istruzione.it,Non Disponibile,www.icvs.edu.it,NO,122,"PIAZZA 75 MARTIRI 3, GENOVA",44.5035566,8.7117867,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81400G,I.C. VALLE STURA,GEMM81402N,SC.SECONDARIA I GR.MASONE,VIA ROMITORIO 108,Non Disponibile,GEIC81400G@istruzione.it,Non Disponibile,www.icvs.edu.it,NO,87,"VIA ROMITORIO 108, GENOVA",44.5032039,8.7183535,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC81400G,I.C. VALLE STURA,GEIC81400G,I.C. VALLE STURA,PIAZZA 75 MARTIRI 3,Non Disponibile,GEIC81400G@istruzione.it,geic81400g@pec.istruzione.it,www.icvs.edu.it,NO,,"PIAZZA 75 MARTIRI 3, GENOVA",44.5035566,8.7117867,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC81400G,I.C. VALLE STURA,GEMM81403P,SC.SECONDARIA I GR.ROSSIGLIONE,VIA CADUTI DELLA LIBERTA' 5,Non Disponibile,GEIC81400G@istruzione.it,Non Disponibile,www.icvs.edu.it,NO,57,"VIA CADUTI DELLA LIBERTA' 5, GENOVA",44.565318,8.668354,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC81500B,I.C. VALTREBBIA,GEMM81504G,I.C. VALTREBBIA / BARGAGLI,VIA A.MARTINI 91,Non Disponibile,GEIC81500B@istruzione.it,Non Disponibile,www.icvaltrebbia.gov.it,NO,53,"VIA A.MARTINI 91, GENOVA",44.4514758,9.0862664,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC81500B,I.C. VALTREBBIA,GEMM81503E,I.C.VAL TREBBIA / ROVEGNO,VIA ALLA CHIESA 1,Non Disponibile,GEIC81500B@istruzione.it,Non Disponibile,www.icvaltrebbia.gov.it,NO,13,"VIA ALLA CHIESA 1, GENOVA",44.3776235,9.0787716,SCUOLA SECONDARIA I GRADO
NORD OVEST,LIGURIA,GENOVA,GEIC81500B,I.C. VALTREBBIA,GEEE81504L,S.EL. DI ROVEGNO,VIA ALLA CHIESA,Non Disponibile,GEIC81500B@istruzione.it,Non Disponibile,www.icvaltrebbia.edu.it,NO,20,"VIA ALLA CHIESA, GENOVA",44.5706472,8.9472026,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81500B,I.C. VALTREBBIA,GEEE81502E,S.EL.-D.ALIGHIERI-BARGAGLI,VIA A.MARTINI,Non Disponibile,GEIC81500B@istruzione.it,Non Disponibile,www.icvaltrebbia.gov.it,NO,75,"VIA A.MARTINI, GENOVA",44.4509218,9.0867768,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81500B,I.C. VALTREBBIA,GEIC81500B,I.C. VALTREBBIA,VIA AL MUNICIPIO7,Non Disponibile,GEIC81500B@istruzione.it,geic81500b@pec.istruzione.it,Non Disponibile,NO,,"VIA AL MUNICIPIO7, GENOVA",44.4071448,8.9347381,#N/A
NORD OVEST,LIGURIA,GENOVA,GEIC81500B,I.C. VALTREBBIA,GEEE81501D,S.EL. DI TORRIGLIA,VIA AL MUNICIPIO 16,Non Disponibile,GEIC81500B@istruzione.it,Non Disponibile,www.icvaltrebbia.edu.it,NO,54,"VIA AL MUNICIPIO 16, GENOVA",44.4967284,8.9042322,SCUOLA PRIMARIA
NORD OVEST,LIGURIA,GENOVA,GEIC81500B,I.C. VALTREBBIA,GEMM81501C,I.C.VALTREBBIA /TORRIGLIA,VIA AL MUNICIPIO 7,Non Disponibile,GEIC81500B@istruzione.it,Non Disponibile,www.icvaltrebbia.gov.it,NO,48,"VIA AL MUNICIPIO 7, GENOVA",44.4967284,8.9042322,SCUOLA SECONDARIA I GRADO
